filename,document_type,document_number,document_year,title,domain,selection_reason
uu-13-2003.md,UNDANG-UNDANG,13,2003,Undang-undang Nomor 13 Tahun 2003 Tentang Ketenagakerjaan,ketenagakerjaan,"Undang-undang inti/payung seluruh regulasi ketenagakerjaan; sumber utama definisi hubungan kerja, perjanjian kerja, waktu kerja, upah, PHK, dan perlindungan pekerja/buruh."
uu-6-2023.md,UNDANG-UNDANG,6,2023,Undang-undang Nomor 6 Tahun 2023 Tentang Penetapan Peraturan Pemerintah Pengganti Undang-undang Nomor 2 Tahun 2022 Tentang Cipta Kerja Menjadi Undang-undang,ketenagakerjaan,"Undang-Undang Cipta Kerja versi yang berlaku; mengubah puluhan pasal UU 13/2003 (PKWT, alih daya, upah minimum, pesangon, jaminan kehilangan pekerjaan)."
pp-35-2021.md,PERATURAN PEMERINTAH,35,2021,"Peraturan Pemerintah Nomor 35 Tahun 2021 Tentang Perjanjian Kerja Waktu Tertentu, Alih Daya, Waktu Kerja dan Waktu Istirahat, dan Pemutusan Hubungan Kerja",ketenagakerjaan,"Aturan pelaksana utama: PKWT, alih daya (outsourcing), waktu kerja dan waktu istirahat, serta pemutusan hubungan kerja - topik inti RAG."
pp-36-2021.md,PERATURAN PEMERINTAH,36,2021,Peraturan Pemerintah Nomor 36 Tahun 2021 Tentang Pengupahan,pengupahan,"Aturan pelaksana pengupahan: upah minimum, struktur dan skala upah, upah kerja lembur, serta sanksi. Mencabut PP 78/2015."
pp-37-2021.md,PERATURAN PEMERINTAH,37,2021,Peraturan Pemerintah Nomor 37 Tahun 2021 Tentang Penyelenggaraan Program Jaminan Kehilangan Pekerjaan,jaminan-sosial,Penyelenggaraan program Jaminan Kehilangan Pekerjaan (JKP) - jaminan sosial baru terkait PHK.
uu-40-2004.md,UNDANG-UNDANG,40,2004,Undang-undang Nomor 40 Tahun 2004 Tentang Sistem Jaminan Sosial Nasional,jaminan-sosial,"Dasar hukum sistem jaminan sosial nasional (Jamsostek: JHT, JP, JKK, JKM)."
uu-24-2011.md,UNDANG-UNDANG,24,2011,Undang-undang Nomor 24 Tahun 2011 Tentang Badan Penyelenggara Jaminan Sosial,jaminan-sosial,Pembentukan BPJS Ketenagakerjaan dan BPJS Kesehatan sebagai badan penyelenggara jaminan sosial.
uu-21-2000.md,UNDANG-UNDANG,21,2000,Undang-undang Nomor 21 Tahun 2000 Tentang Serikat Pekerja/serikat Buruh,hubungan-industrial,Kebebasan berserikat: serikat pekerja/serikat buruh - dasar hubungan industrial.
uu-2-2004.md,UNDANG-UNDANG,2,2004,Undang-undang Nomor 2 Tahun 2004 Tentang Penyelesaian Perselisihan Hubungan Industrial,hubungan-industrial,"Penyelesaian perselisihan hubungan industrial: bipartit, mediasi, konsiliasi, arbitrase, pengadilan hubungan industrial."
permenaker-1-2017.md,PERATURAN MENTERI,1,2017,Peraturan Menteri Ketenagakerjaan Nomor 1 Tahun 2017 Tentang Struktur dan Skala Upah,pengupahan,Aturan rinci struktur dan skala upah oleh Kementerian Ketenagakerjaan; melengkapi PP 36/2021.
permenaker-10-2018.md,PERATURAN MENTERI,10,2018,Peraturan Menteri Ketenagakerjaan Nomor 10 Tahun 2018 Tentang Tata Cara Penggunaan Tenaga Kerja Asing,ketenagakerjaan,Tata cara penggunaan tenaga kerja asing (TKA) - implementasi UU 13/2003.
