id,difficulty,question,answer,sources_cited,expected_sources,found_sources,source_match,is_rejected,faithfulness_score,relevance_score,source_correctness_score,completeness_score,notes
Q01,easy,Apa yang dimaksud dengan hubungan kerja?,"Hubungan kerja adalah hubungan antara pengusaha dengan pekerja/buruh berdasarkan perjanjian kerja, yang mempunyai unsur pekerjaan, upah, dan perintah [S1, S2].","[S1], [S2]",uu-13-2003,"uu-13-2003, pp-36-2021",YES,NO,2,2,2,0,F:Grounded answer with citations | R:High keyword overlap (4/6) | S:All 2 sources match retrieved docs | C:Very short answer (20 words)
Q02,easy,Apa yang dimaksud dengan perjanjian kerja waktu tertentu (PKWT)?,Perjanjian Kerja Waktu Tertentu (PKWT) adalah Perjanjian Kerja antara Pekerja/Buruh dengan Pengusaha untuk mengadakan Hubungan Kerja dalam waktu tertentu atau untuk pekerjaan tertentu [S1].,[S1],"pp-35-2021, uu-13-2003",pp-35-2021,YES,NO,2,2,2,0,F:Grounded answer with citations | R:High keyword overlap (6/9) | S:All 1 sources match retrieved docs | C:Very short answer (24 words)
Q03,easy,Apa yang dimaksud dengan upah minimum?,"Berdasarkan dokumen yang tersedia, upah minimum merupakan upah bulanan terendah yang terdiri atas:
a. Upah tanpa tunjangan; atau
b. Upah pokok dan tunjangan tetap [S3].",[S3],"pp-36-2021, uu-13-2003","uu-13-2003, pp-36-2021",YES,NO,2,2,2,0,F:Grounded answer with citations | R:High keyword overlap (3/6) | S:All 1 sources match retrieved docs | C:Very short answer (25 words)
Q04,easy,Apa yang dimaksud dengan serikat pekerja/serikat buruh?,"Serikat pekerja/serikat buruh adalah organisasi yang dibentuk dari, oleh, dan untuk pekerja/buruh baik di perusahaan maupun di luar perusahaan, yang bersifat bebas, terbuka, mandiri, demokratis, dan bertanggung jawab guna memperjuangkan, membela serta melindungi hak dan kepentingan pekerja/buruh serta meningkatkan kesejahteraan pekerja/buruh dan keluarganya [S1, S3, S5].

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*","[S1], [S3], [S5]",uu-21-2000,"uu-21-2000, uu-13-2003, pp-35-2021",YES,YES,0,1,2,1,"F:REJECTED but source_match=YES (over-refusal) | R:Rejected - partial relevance (context insufficient) | S:Rejected, source check N/A | C:Rejected - completeness N/A (context insufficient)"
Q05,easy,Berapa batas maksimum waktu kerja lembur dalam sehari?,"Batas maksimum waktu kerja lembur dalam sehari berbeda-beda tergantung pada peraturan yang menjadi dasar:

1. Berdasarkan **Undang-Undang Nomor 13 Tahun 2003**, waktu kerja lembur hanya dapat dilakukan paling banyak **3 (tiga) jam dalam 1 (satu) hari** [S4].
2. Berdasarkan **Undang-Undang Nomor 6 Tahun 2023** dan **Peraturan Pemerintah Nomor 35 Tahun 2021**, waktu kerja lembur dapat dilakukan **paling lama 4 (empat) jam dalam 1 (satu) hari** [S2, S3, S5].","[S2], [S3], [S4], [S5]",uu-13-2003,"pp-35-2021, uu-6-2023, uu-13-2003",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (7/8) | S:All 4 sources match retrieved docs | C:Partial answer (68 words)
Q06,medium,Apakah PKWT dapat diperpanjang dan berapa lama keseluruhan masa kerjanya?,"Ya, Perjanjian Kerja Waktu Tertentu (PKWT) dapat diperpanjang [S1]. Ketentuan mengenai jangka waktu keseluruhan PKWT beserta perpanjangannya adalah paling lama 5 (lima) tahun [S1].",[S1],"pp-35-2021, uu-13-2003",pp-35-2021,YES,NO,2,2,2,0,F:Grounded answer with citations | R:High keyword overlap (5/10) | S:All 1 sources match retrieved docs | C:Very short answer (24 words)
Q07,medium,Apa saja hak pekerja/buruh yang harus diterima ketika terjadi PHK?,"Berdasarkan dokumen yang tersedia, hak pekerja/buruh yang harus diterima ketika terjadi pemutusan hubungan kerja (PHK) bervariasi tergantung pada alasannya:

1. **PHK karena perubahan status, penggabungan, atau peleburan perusahaan:**
   * Jika pengusaha tidak bersedia menerima pekerja/buruh di perusahaannya, pekerja berhak atas uang pesangon sebesar 2 kali ketentuan Pasal 156 ayat (2), uang penghargaan masa kerja 1 kali ketentuan Pasal 156 ayat (3), dan uang penggantian hak sesuai ketentuan Pasal 156 ayat (4) [S2, S3].
   * Jika terjadi perubahan status dan hubungan kerja, pekerja berhak atas uang pesangon sebesar 1 kali ketentuan Pasal 156 ayat (2), uang penghargaan masa kerja 1 kali ketentuan Pasal 156 ayat (3), dan uang penggantian hak sesuai ketentuan Pasal 156 ayat (4) [S3].

2. **PHK karena perusahaan tutup yang disebabkan kerugian terus menerus selama 2 tahun atau keadaan memaksa (*force majeur*):**
   * Pekerja berhak atas uang pesangon sebesar 1 kali ketentuan Pasal 156 ayat (2), uang penghargaan masa kerja sebesar 1 kali ketentuan Pasal 156 ayat (3), dan uang penggantian hak [S2].

3. **PHK karena kesalahan berat:**
   * Pekerja/buruh dapat memperoleh uang penggantian hak sesuai ketentuan Pasal 156 ayat (4) [S5].
   * Bagi pekerja/buruh yang tugas dan fungsinya tidak mewakili kepentingan pengusaha secara langsung, selain uang penggantian hak, juga diberikan uang [S5]. *(Catatan: teks dokumen terpotong pada bagian akhir ketentuan ini).*

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*","[S2], [S3], [S5]","uu-13-2003, pp-35-2021","uu-13-2003, uu-21-2000",YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (9/11) | S:All 3 sources match retrieved docs | C:Detailed answer (228 words)
Q08,medium,Bagaimana cara menghitung besaran uang pesangon?,"Berdasarkan dokumen yang tersedia, perhitungan uang pesangon ditentukan berdasarkan masa kerja dengan ketentuan paling sedikit sebagai berikut:
1. Masa kerja kurang dari 1 (satu) tahun: 1 (satu) bulan upah [S4].
2. Masa kerja 1 (satu) tahun atau lebih tetapi kurang dari 2 (dua) tahun: 2 (dua) bulan upah [S4].
3. Masa kerja 2 (tahun) atau lebih tetapi kurang dari 3 (tiga) tahun: 3 (tiga) bulan upah [S4].
4. Masa kerja 3 (tiga) tahun atau lebih tetapi kurang dari 4 (empat) tahun: 4 (empat) bulan upah [S4].

Selain itu, komponen upah yang digunakan sebagai dasar perhitungan uang pesangon terdiri atas:
1. Upah pokok [S2].
2. Tunjangan tetap yang diberikan kepada pekerja/buruh dan keluarganya [S2].

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*","[S2], [S3], [S4]","pp-35-2021, uu-13-2003","uu-13-2003, pp-36-2021",YES,NO,2,1,2,2,F:Grounded answer with citations | R:Moderate keyword overlap (2/6) | S:All 3 sources match retrieved docs | C:Detailed answer (127 words)
Q09,medium,Apa saja syarat sah perjanjian kerja?,"Berdasarkan dokumen yang tersedia, perjanjian kerja dibuat atas dasar pekerjaan yang diperjanjikan tidak bertentangan dengan ketertiban umum, kesusilaan, dan peraturan perundang-undangan yang berlaku [S5]. 

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*",[S5],uu-13-2003,"uu-13-2003, pp-36-2021",YES,NO,2,1,2,1,F:Grounded answer with citations | R:Moderate keyword overlap (2/6) | S:All 1 sources match retrieved docs | C:Partial answer (38 words)
Q10,medium,Bagaimana tata cara penggunaan tenaga kerja asing (TKA)?,"Berdasarkan dokumen yang tersedia, informasi mengenai tata cara penggunaan Tenaga Kerja Asing (TKA) diatur melalui keharusan bagi Pemberi Kerja TKA yang akan mempekerjakan TKA untuk memiliki Rencana Penggunaan Tenaga Kerja Asing (RPTKA) yang disahkan oleh Menteri atau pejabat yang ditunjuk [S3]. Jangka waktu RPTKA tersebut disesuaikan dengan perjanjian kerja atau perjanjian pekerjaan [S3]. 

Namun, ketentuan kepemilikan RPTKA ini tidak diwajibkan bagi:
1. Instansi pemerintah, perwakilan negara asing, dan badan internasional; atau
2. Pemberi Kerja TKA yang mempekerjakan TKA sebagai anggota direksi atau anggota dewan [S3].

*DISCLAIMER: Sistem ini merupakan prototype RAG untuk tujuan pembelajaran dan bukan pengganti konsultasi hukum.*",[S3],"permenaker-10-2018, uu-13-2003",permenaker-10-2018,YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (7/8) | S:All 1 sources match retrieved docs | C:Partial answer (99 words)
