id,difficulty,question,answer,sources_cited,expected_sources,found_sources,source_match,is_rejected,faithfulness_score,relevance_score,source_correctness_score,completeness_score,notes
Q01,easy,Apa yang dimaksud dengan hubungan kerja?,"Hubungan kerja adalah hubungan antara pengusaha dengan pekerja/buruh berdasarkan perjanjian kerja, yang mempunyai unsur pekerjaan, upah, dan perintah [S1], [S2]. 

Hubungan kerja ini terjadi karena adanya perjanjian kerja antara pengusaha dan pekerja/buruh [S5].","[S1], [S2], [S5]",uu-13-2003,"pp-36-2021, uu-13-2003",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (4/6) | S:All 3 sources match retrieved docs | C:Partial answer (33 words)
Q02,easy,Apa yang dimaksud dengan perjanjian kerja waktu tertentu (PKWT)?,"Perjanjian Kerja Waktu Tertentu (PKWT) adalah Perjanjian Kerja antara Pekerja/Buruh dengan Pengusaha untuk mengadakan Hubungan Kerja dalam waktu tertentu atau untuk pekerjaan tertentu [S1]. 

PKWT didasarkan atas jangka waktu atau selesainya suatu pekerjaan tertentu dan tidak dapat diadakan untuk pekerjaan yang bersifat tetap [S2], [S4].","[S1], [S2], [S4]","pp-35-2021, uu-13-2003",pp-35-2021,YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (7/9) | S:All 3 sources match retrieved docs | C:Partial answer (45 words)
Q03,easy,Apa yang dimaksud dengan upah minimum?,"Berdasarkan dokumen yang diberikan, **Upah minimum** adalah Upah bulanan terendah yang terdiri atas:
a. Upah tanpa tunjangan; atau
b. Upah pokok dan tunjangan tetap [S1].

Beberapa ketentuan terkait Upah minimum antara lain:
- **Penggunaan/Pemberlakuan:** Berlaku bagi Pekerja/Buruh dengan masa kerja kurang dari 1 (satu) tahun pada perusahaan yang bersangkutan [S4]. Pengusaha dilarang membayar Upah lebih rendah dari Upah minimum [S1].
- **Komponen Pengeluaran/Dasar Penetapan:** 
  - Berdasarkan **UU No. 13 Tahun 2003**, Upah minimum diarahkan kepada pencapaian kebutuhan hidup layak [S2] serta memperhatikan produktivitas dan pertumbuhan ekonomi [S3]. 
  - Berdasarkan **PP No. 36 Tahun 2021**, Upah minimum ditetapkan berdasarkan kondisi ekonomi dan ketenagakerjaan [S4].","[S1], [S2], [S3], [S4]","pp-36-2021, uu-13-2003","uu-13-2003, pp-36-2021",YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (4/6) | S:All 4 sources match retrieved docs | C:Detailed answer (103 words)
Q04,easy,Apa yang dimaksud dengan serikat pekerja/serikat buruh?,"Berdasarkan dokumen yang tersedia, serikat pekerja/serikat buruh dijelaskan melalui fungsi, bentuk, dan ketentuan pembentukannya sebagai berikut:

1. **Fungsi dan Peran:**
   * Merupakan sarana untuk memperjuangkan, melindungi, dan membela kepentingan serta meningkatkan kesejahteraan pekerja/buruh dan keluarganya [S3].
   * Merupakan sarana untuk memperjuangkan kepentingan pekerja/buruh dan menciptakan hubungan industrial yang harmonis, dinamis, dan berkeadilan [S2].

2. **Jenis/Bentuk Spesifik:**
   * **Serikat pekerja/serikat buruh di luar perusahaan:** Serikat pekerja/serikat buruh yang didirikan oleh para pekerja/serikat yang tidak bekerja di perusahaan [S4].
   * **Serikat pekerja/serikat buruh bentuk lain:** Serikat pekerja/serikat buruh yang dibentuk tidak berdasarkan satu sektor usaha tertentu atau jenis pekerjaan tertentu [S1].

3. **Ketentuan Pembentukan:**
   * Dibentuk oleh sekurang-kurangnya 10 (sepuluh) orang pekerja/buruh [S5].","[S1], [S2], [S3], [S4], [S5]",uu-21-2000,uu-21-2000,YES,YES,0,1,2,1,"F:REJECTED but source_match=YES (over-refusal) | R:Rejected - partial relevance (context insufficient) | S:Rejected, source check N/A | C:Rejected - completeness N/A (context insufficient)"
Q05,easy,Berapa batas maksimum waktu kerja lembur dalam sehari?,"Batas maksimum waktu kerja lembur dalam sehari memiliki ketentuan yang berbeda berdasarkan dokumen regulasi yang tersedia:

1. **Paling lama 4 (empat) jam dalam 1 (satu) hari**, sebagaimana diatur dalam Peraturan Pemerintah Nomor 35 Tahun 2021 [S1] dan Undang-Undang Nomor 6 Tahun 2023 [S3].
2. **Paling banyak 3 (tiga) jam dalam 1 (satu) hari**, sebagaimana diatur dalam Undang-Undang Nomor 13 Tahun 2003 [S4].","[S1], [S2], [S3], [S4]",uu-13-2003,"uu-6-2023, pp-35-2021, uu-13-2003",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (7/8) | S:All 4 sources match retrieved docs | C:Partial answer (62 words)
Q06,medium,Apakah PKWT dapat diperpanjang dan berapa lama keseluruhan masa kerjanya?,"Ya, PKWT dapat diperpanjang apabila jangka waktu PKWT akan berakhir dan pekerjaan yang dilaksanakan belum selesai [S2]. 

Ketentuan perpanjangan dan durasi keseluruhan masa kerjanya adalah sebagai berikut:
1. **PKWT berdasarkan jangka waktu:** Perpanjangan dilakukan sesuai kesepakatan antara Pengusaha dengan Pekerja/Buruh, dengan ketentuan jangka waktu keseluruhan PKWT beserta perpanjangannya tidak lebih dari 5 (lima) tahun [S1].
2. **PKWT berdasarkan selesainya suatu pekerjaan tertentu:** Perpanjangan dilakukan sampai batas waktu tertentu hingga selesainya pekerjaan tersebut [S4].

Masa kerja Pekerja/Buruh dalam hal perpanjangan jangka waktu PKWT tetap dihitung sejak terjadinya Hubungan Kerja berdasarkan PKWT [S1], [S4].","[S1], [S2], [S4]","pp-35-2021, uu-13-2003",pp-35-2021,YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (7/10) | S:All 3 sources match retrieved docs | C:Partial answer (92 words)
Q07,medium,Apa saja hak pekerja/buruh yang harus diterima ketika terjadi PHK?,"Dalam hal terjadi Pemutusan Hubungan Kerja (PHK), pengusaha diwajibkan membayar hak-hak pekerja/buruh yang meliputi [S3]:
1. **Uang pesangon** [S3]
2. **Uang penghargaan masa kerja** [S3]
3. **Uang penggantian hak** yang seharusnya diterima [S3]

Besaran hak yang diterima pekerja/buruh dapat berbeda tergantung kondisi/alasan PHK:
* **Pekerja/buruh tidak bersedia melanjutkan hubungan kerja** karena perubahan status, penggabungan, peleburan, atau perubahan kepemilikan perusahaan, berhak atas [S5]:
  * Uang pesangon sebesar 1 (satu) kali ketentuan Pasal 156 ayat (2) [S5].
  * Uang penghargaan masa kerja 1 (satu) kali ketentuan Pasal 156 ayat (3) [S5].
  * Uang penggantian hak sesuai ketentuan Pasal 156 ayat (4) [S5].
* **Pengusaha tidak bersedia menerima pekerja/buruh** di perusahaannya karena perubahan status, penggabungan, atau peleburan perusahaan, pekerja/buruh berhak atas [S1]:
  * Uang pesangon sebesar 2 (dua) kali ketentuan Pasal 156 ayat (2) [S1].
  * Uang penghargaan masa kerja 1 (satu) kali ketentuan Pasal 156 ayat (3) [S1].
  * Uang penggantian hak sesuai ketentuan Pasal 156 ayat (4) [S1].","[S1], [S2], [S3], [S5]","uu-13-2003, pp-35-2021",uu-13-2003,YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (7/11) | S:All 4 sources match retrieved docs | C:Detailed answer (157 words)
Q08,medium,Bagaimana cara menghitung besaran uang pesangon?,"Berdasarkan dokumen yang tersedia, cara menghitung besaran uang pesangon dilakukan dengan memperhatikan komponen upah dasar dan ketentuan jumlah bulan upah/koefisien sesuai masa kerja dan alasan PHK:

1. **Komponen Upah Dasar Perhitungan:**
   * Komponen upah yang digunakan terdiri dari **Upah pokok** dan **tunjangan tetap** [S1].
   * Jika upah dibayarkan secara **harian**, upah sebulan dihitung **30 dikalikan upah sehari** [S4].
   * Jika upah dibayarkan berdasarkan **satuan hasil**, upah sebulan dihitung dari **rata-rata penghasilan dalam 12 bulan terakhir** [S4].
   * Jika upah sebulan lebih rendah dari **Upah minimum**, maka dasar perhitungan yang digunakan adalah **Upah minimum** yang berlaku [S4].

2. **Ketentuan Besaran Pesangon:**
   * Untuk masa kerja **kurang dari 1 (satu) tahun**, besaran uang pesangon paling sedikit adalah **1 (satu) bulan upah** [S5].
   * Besaran perkalian/koefisien pesangon dapat menyesuaikan kondisi/alasan PHK tertentu, seperti sebesar **0,5 (nol koma lima) kali** ketentuan untuk alasan pengambilalihan perusahaan atau efisiensi karena perusahaan mengalami kerugian [S2].","[S1], [S2], [S4], [S5]","pp-35-2021, uu-13-2003","uu-6-2023, pp-35-2021, uu-13-2003, pp-36-2021",YES,NO,2,2,2,2,F:Grounded answer with citations | R:High keyword overlap (5/6) | S:All 4 sources match retrieved docs | C:Detailed answer (148 words)
Q09,medium,Apa saja syarat sah perjanjian kerja?,"Berdasarkan dokumen yang tersedia, perjanjian kerja dibuat atas dasar atau syarat sebagai berikut:

1. Kesepakatan kedua belah pihak;
2. Kemampuan atau kecakapan melakukan perbuatan hukum;
3. Adanya pekerjaan yang diperjanjikan; dan
4. Pekerjaan yang diperjanjikan tidak bertentangan dengan ketertiban umum, kesusilaan, dan peraturan perundang-undangan yang berlaku.

Sumber: [S3]",[S3],uu-13-2003,"uu-13-2003, pp-36-2021",YES,NO,2,2,2,1,F:Grounded answer with citations | R:High keyword overlap (3/6) | S:All 1 sources match retrieved docs | C:Partial answer (48 words)
Q10,medium,Bagaimana tata cara penggunaan tenaga kerja asing (TKA)?,Informasi yang diperlukan tidak ditemukan dalam dokumen yang tersedia.,,"permenaker-10-2018, uu-13-2003",permenaker-10-2018,YES,YES,0,1,2,1,"F:REJECTED but source_match=YES (over-refusal) | R:Rejected - partial relevance (context insufficient) | S:Rejected, source check N/A | C:Rejected - completeness N/A (context insufficient)"
